Predilection,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1
Leg,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,0.8113,1.592,0.75,2
Belly,3,14,0.6429,0.3571,0.656,0.6423,0.4997,0.8018,0.7578,0.5971,1.171,0.7857,3
Belly,1,8,1,0,0,1,0,0.3536,0,,0.3017,1,1
Belly,4,18,0.7037,0.2963,0.6337,0.4711,0.472,0.9428,1.038,0.4571,1.594,0.8333,7
Belly,2,8,0.5313,0.4688,0.6616,0.9689,0.5032,0.7071,0.4809,0.9544,0.8559,0.625,2
Belly,3,11,0.4215,0.5785,0.9348,0.8489,0.7207,0.9045,0.8341,0.8509,1.359,0.4545,3
Belly,1,14,1,0,0,1,0,0.2673,0,,0.2465,1,1
Belly,3,19,0.4571,0.5429,0.857,0.7854,0.7174,0.6882,0.6792,0.7801,1.002,0.5263,3
Belly,3,8,0.4063,0.5938,0.9743,0.8831,0.7043,1.061,0.9618,0.8869,1.743,0.5,3
Belly,2,6,0.5556,0.4444,0.6365,0.9449,0.4513,0.8165,0.5581,0.9183,1.051,0.6667,2
Belly,2,8,0.5,0.5,0.6931,1,0.5311,0.7071,0.4809,1,0.8559,0.5,2
Belly,2,13,0.5266,0.4734,0.6663,0.9735,0.5508,0.5547,0.3899,0.9612,0.6601,0.6154,2
Belly,3,8,0.5938,0.4063,0.7356,0.6956,0.5032,1.061,0.9618,0.6696,1.743,0.75,4
Belly,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,0.7219,1.235,0.8,2
Belly,2,8,0.625,0.375,0.5623,0.8774,0.4165,0.7071,0.4809,0.8113,0.8559,0.75,2
Belly,2,8,0.5,0.5,0.6931,1,0.5311,0.7071,0.4809,1,0.8559,0.5,2
Belly,2,14,0.5,0.5,0.6931,1,0.5815,0.5345,0.3789,1,0.6385,0.5,2
Belly,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Belly,2,14,0.5102,0.4898,0.6829,0.9898,0.572,0.5345,0.3789,0.9852,0.6385,0.5714,2
Belly,3,10,0.34,0.66,1.089,0.9903,0.8343,0.9487,0.8686,0.9912,1.453,0.4,3
Belly,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Belly,3,5,0.36,0.64,1.055,0.9572,0.6802,1.342,1.243,0.9602,3.167,0.4,3
Belly,3,21,0.619,0.381,0.668,0.6501,0.5491,0.6547,0.6569,0.6081,0.9578,0.7619,3
Belly,2,7,0.5918,0.4082,0.5983,0.9095,0.4349,0.7559,0.5139,0.8631,0.9354,0.7143,2
Belly,2,14,0.6633,0.3367,0.5196,0.8407,0.4212,0.5345,0.3789,0.7496,0.6385,0.7857,2
Belly,3,8,0.375,0.625,1.04,0.9428,0.755,1.061,0.9618,0.9464,1.743,0.5,3
Belly,1,4,1,0,0,1,0,0.5,0,,0.4279,1,1
Belly,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Belly,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
Belly,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,0.8113,1.592,0.75,2
Belly,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Belly,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Belly,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Belly,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Belly,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Belly,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Belly,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
Belly,2,15,0.52,0.48,0.673,0.9801,0.5679,0.5164,0.3693,0.971,0.6198,0.6,2
Belly,2,8,0.625,0.375,0.5623,0.8774,0.4165,0.7071,0.4809,0.8113,0.8559,0.75,2
Belly,4,10,0.34,0.66,1.194,0.8247,0.8748,1.265,1.303,0.861,2.471,0.4,5
Belly,4,4,0.25,0.75,1.386,1,0.7945,2,2.164,1,0,0.25,10
Belly,3,9,0.5062,0.4938,0.8487,0.7789,0.6144,1,0.9102,0.7725,1.576,0.6667,3
Belly,1,7,1,0,0,1,0,0.378,0,,0.3193,1,1
Belly,3,9,0.4321,0.5679,0.9369,0.8507,0.6914,1,0.9102,0.8528,1.576,0.5556,3
Belly,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Belly,1,5,1,0,0,1,0,0.4472,0,,0.3759,1,1
Belly,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,0.9464,5.453,0.5,3.5
Belly,3,7,0.4286,0.5714,0.9557,0.8668,0.6649,1.134,1.028,0.8699,1.989,0.5714,3
Belly,4,10,0.28,0.72,1.314,0.9301,0.9729,1.265,1.303,0.9477,2.471,0.3,4
Belly,3,11,0.5702,0.4298,0.7595,0.7124,0.5641,0.9045,0.8341,0.6914,1.359,0.7273,3
Belly,1,4,1,0,0,1,0,0.5,0,,0.4279,1,1
Belly,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Belly,2,6,0.5,0.5,0.6931,1,0.4993,0.8165,0.5581,1,1.051,0.5,2
Belly,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
Belly,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Belly,2,11,0.7025,0.2975,0.4741,0.8033,0.3643,0.603,0.417,0.684,0.7153,0.8182,2
Belly,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Belly,1,1,1,0,0,1,0,1,0,,0,1,1
Belly,1,1,1,0,0,1,0,1,0,,0,1,1
Belly,2,6,0.7222,0.2778,0.4506,0.7846,0.2986,0.8165,0.5581,0.65,1.051,0.8333,2
Head,4,12,0.3472,0.6528,1.199,0.8291,0.9103,1.155,1.207,0.8648,2.101,0.5,4
Head,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Head,2,11,0.8347,0.1653,0.3046,0.6781,0.218,0.603,0.417,0.4395,0.7153,0.9091,2
Head,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Head,5,27,0.6187,0.3813,0.8252,0.4565,0.6589,0.9623,1.214,0.5127,1.805,0.7778,5.333
Head,4,9,0.3827,0.6173,1.149,0.7888,0.8135,1.333,1.365,0.8289,2.759,0.5556,4.5
Head,4,6,0.3333,0.6667,1.242,0.866,0.7979,1.633,1.674,0.8962,5.245,0.5,7
Head,3,11,0.438,0.562,0.9165,0.8335,0.7041,0.9045,0.8341,0.8342,1.359,0.5455,3
Head,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
Head,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Head,4,7,0.3061,0.6939,1.277,0.8965,0.8629,1.512,1.542,0.9212,3.878,0.4286,4.5
Head,2,6,0.5556,0.4444,0.6365,0.9449,0.4513,0.8165,0.5581,0.9183,1.051,0.6667,2
Head,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
Head,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
Head,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Head,2,9,0.5062,0.4938,0.687,0.9938,0.5374,0.6667,0.4551,0.9911,0.7972,0.5556,2
Head,3,6,0.3889,0.6111,1.011,0.9165,0.6824,1.225,1.116,0.9206,2.388,0.5,3
Head,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Head,3,13,0.3964,0.6036,1.01,0.9153,0.8033,0.8321,0.7797,0.9194,1.223,0.5385,3
Head,3,9,0.4074,0.5926,0.995,0.9016,0.7364,1,0.9102,0.9057,1.576,0.5556,3
Head,2,13,0.645,0.355,0.5402,0.8582,0.4351,0.5547,0.3899,0.7793,0.6601,0.7692,2
Head,2,4,0.5,0.5,0.6931,1,0.4479,1,0.7213,1,1.592,0.5,2
Head,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Head,3,8,0.4063,0.5938,0.9743,0.8831,0.7043,1.061,0.9618,0.8869,1.743,0.5,3
Head,2,8,0.625,0.375,0.5623,0.8774,0.4165,0.7071,0.4809,0.8113,0.8559,0.75,2
Head,2,6,0.5556,0.4444,0.6365,0.9449,0.4513,0.8165,0.5581,0.9183,1.051,0.6667,2
Head,2,6,0.5556,0.4444,0.6365,0.9449,0.4513,0.8165,0.5581,0.9183,1.051,0.6667,2
Head,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
Head,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Head,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Head,1,1,1,0,0,1,0,1,0,,0,1,1
Head,1,1,1,0,0,1,0,1,0,,0,1,1
Head,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
Head,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Head,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Head,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Head,2,7,0.7551,0.2449,0.4101,0.7535,0.278,0.7559,0.5139,0.5917,0.9354,0.8571,2
Head,4,5,0.28,0.72,1.332,0.9473,0.8189,1.789,1.864,0.961,9.284,0.4,5.5
Head,3,3,0.3333,0.6667,1.099,1,0.5973,1.732,1.82,1,0,0.3333,6
Head,3,3,0.3333,0.6667,1.099,1,0.5973,1.732,1.82,1,0,0.3333,6
Head,5,5,0.2,0.8,1.609,1,0.9575,2.236,2.485,1,0,0.2,15
Head,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,0.8113,1.592,0.75,2
Head,2,6,0.5556,0.4444,0.6365,0.9449,0.4513,0.8165,0.5581,0.9183,1.051,0.6667,2
Head,4,8,0.2813,0.7188,1.321,0.9367,0.9283,1.414,1.443,0.9528,3.184,0.375,4
Head,2,6,0.7222,0.2778,0.4506,0.7846,0.2986,0.8165,0.5581,0.65,1.051,0.8333,2
Head,3,6,0.3889,0.6111,1.011,0.9165,0.6824,1.225,1.116,0.9206,2.388,0.5,3
Head,3,4,0.375,0.625,1.04,0.9428,0.6212,1.5,1.443,0.9464,5.453,0.5,3.5
Head,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,0.8113,1.592,0.75,2
Head,4,6,0.3333,0.6667,1.242,0.866,0.7979,1.633,1.674,0.8962,5.245,0.5,7
Head,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
Head,2,5,0.68,0.32,0.5004,0.8247,0.3219,0.8944,0.6213,0.7219,1.235,0.8,2
Head,1,10,1,0,0,1,0,0.3162,0,,0.2766,1,1
Head,2,7,0.5102,0.4898,0.6829,0.9898,0.5079,0.7559,0.5139,0.9852,0.9354,0.5714,2
Head,3,15,0.3689,0.6311,1.044,0.9466,0.853,0.7746,0.7385,0.9501,1.128,0.4667,3
Head,2,9,0.5556,0.4444,0.6365,0.9449,0.4923,0.6667,0.4551,0.9183,0.7972,0.6667,2
Head,1,1,1,0,0,1,0,1,0,,0,1,1
Head,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Head,1,1,1,0,0,1,0,1,0,,0,1,1
Head,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Tail,4,29,0.4102,0.5898,1.017,0.6914,0.8754,0.7428,0.8909,0.7338,1.258,0.4828,4
Tail,5,14,0.2755,0.7245,1.438,0.8422,1.102,1.336,1.516,0.8933,2.782,0.4286,5
Tail,1,1,1,0,0,1,0,1,0,,0,1,1
Tail,3,7,0.4286,0.5714,0.9557,0.8668,0.6649,1.134,1.028,0.8699,1.989,0.5714,3
Tail,3,19,0.59,0.41,0.708,0.6767,0.5774,0.6882,0.6792,0.6445,1.002,0.7368,3
Tail,3,23,0.4102,0.5898,0.9724,0.8815,0.8358,0.6255,0.6379,0.8852,0.9211,0.5217,3
Tail,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Tail,3,9,0.5062,0.4938,0.8487,0.7789,0.6144,1,0.9102,0.7725,1.576,0.6667,3
Tail,3,7,0.4286,0.5714,0.9557,0.8668,0.6649,1.134,1.028,0.8699,1.989,0.5714,3
