Predilection,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1
Neck,3,6,0.3889,0.6111,1.011,0.9165,0.6824,1.225,1.116,0.9206,2.388,0.5,3
Neck,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Neck,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Neck,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Shoulder,1,4,1,0,0,1,0,0.5,0,,0.4279,1,1
Shoulder,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Shoulder,1,1,1,0,0,1,0,1,0,,0,1,1
Shoulder,1,1,1,0,0,1,0,1,0,,0,1,1
Shoulder,1,1,1,0,0,1,0,1,0,,0,1,1
Shoulder,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Shoulder,2,2,0.5,0.5,0.6931,1,0.3466,1.414,1.443,1,0,0.5,3
Shoulder,3,5,0.36,0.64,1.055,0.9572,0.6802,1.342,1.243,0.9602,3.167,0.4,3
Shoulder,1,4,1,0,0,1,0,0.5,0,,0.4279,1,1
Shoulder,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Shoulder,1,2,1,0,0,1,0,0.7071,0,,0.7959,1,1
Shoulder,4,10,0.3,0.7,1.28,0.899,0.9441,1.265,1.303,0.9232,2.471,0.4,4
Shoulder,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
Shoulder,4,6,0.2778,0.7222,1.33,0.9449,0.8655,1.633,1.674,0.9591,5.245,0.3333,4.333
Shoulder,4,6,0.2778,0.7222,1.33,0.9449,0.8655,1.633,1.674,0.9591,5.245,0.3333,4.333
Shoulder,2,9,0.5062,0.4938,0.687,0.9938,0.5374,0.6667,0.4551,0.9911,0.7972,0.5556,2
Shoulder,2,5,0.52,0.48,0.673,0.9801,0.4605,0.8944,0.6213,0.971,1.235,0.6,2
Shoulder,2,8,0.5313,0.4688,0.6616,0.9689,0.5032,0.7071,0.4809,0.9544,0.8559,0.625,2
Shoulder,3,8,0.3438,0.6563,1.082,0.9837,0.791,1.061,0.9618,0.9851,1.743,0.375,3
Shoulder,3,5,0.44,0.56,0.9503,0.8621,0.5991,1.342,1.243,0.865,3.167,0.6,4
Shoulder,1,1,1,0,0,1,0,1,0,,0,1,1
Shoulder,1,3,1,0,0,1,0,0.5774,0,,0.5252,1,1
Shoulder,1,4,1,0,0,1,0,0.5,0,,0.4279,1,1
