"","Sample","Cattle_ID","Life_stage","Sex","Predeliction","A..variegatum","A..coharenses","B..annulatus","B..decoloratus","B..geigyi","H..laechi","R..gulhoni","R..lunulatus","R..muhsame","R..sanguineus","R..senegalensis","R..gemma","Boophilus.sp.","R..quilhoni","A.gemma","R.fanguineus"
"51","S1",3,"Adult","Female","Head",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","S1",3,"Adult","Female","Tail",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","S1",3,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","S1",3,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","S1",3,"Adult","Male","Leg",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56","S1",3,"Adult","Male","Belly",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","S1",3,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"58","S1",3,"Adult","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","S1",3,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","S1",3,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","S1",3,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","S1",3,"Nymph","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","S1",3,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","S1",3,"Nymph","Female","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","S1",3,"Nymph","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","S1",3,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","S1",3,"Nymph","Male","Leg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"68","S1",3,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","S1",3,"Nymph","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","S1",3,"Nymph","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","S1",3,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","S1",3,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","S1",4,"Adult","Female","Leg",0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
"74","S1",4,"Adult","Female","Belly",0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
"75","S1",4,"Adult","Female","Head",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"76","S1",4,"Adult","Female","Tail",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"77","S1",4,"Adult","Female","Neck",0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
"78","S1",4,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","S1",4,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","S1",4,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","S1",4,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","S1",4,"Adult","Male","Tail",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","S1",4,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","S1",4,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","S1",4,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","S1",4,"Nymph","Female","Belly",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","S1",4,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","S1",4,"Nymph","Female","Tail",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","S1",4,"Nymph","Female","Neck",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"90","S1",4,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","S1",4,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","S1",4,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","S1",4,"Nymph","Male","Head",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"94","S1",4,"Nymph","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","S1",4,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","S1",4,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","S1",5,"Adult","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","S1",5,"Adult","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","S1",5,"Adult","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","S1",5,"Adult","Female","Tail",1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","S1",5,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","S1",5,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","S1",5,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","S1",5,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","S1",5,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","S1",5,"Adult","Male","Tail",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"107","S1",5,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","S1",5,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","S1",5,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","S1",5,"Nymph","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","S1",5,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","S1",5,"Nymph","Female","Tail",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","S1",5,"Nymph","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","S1",5,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","S1",5,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","S1",5,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","S1",5,"Nymph","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","S1",5,"Nymph","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","S1",5,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","S1",5,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","S1",6,"Adult","Female","Leg",0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0
"122","S1",6,"Adult","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","S1",6,"Adult","Female","Head",0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0
"124","S1",6,"Adult","Female","Tail",0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"125","S1",6,"Adult","Female","Neck",0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0
"126","S1",6,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","S1",6,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","S1",6,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","S1",6,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"130","S1",6,"Adult","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","S1",6,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","S1",6,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","S1",6,"Nymph","Female","Leg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"134","S1",6,"Nymph","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","S1",6,"Nymph","Female","Head",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","S1",6,"Nymph","Female","Tail",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"137","S1",6,"Nymph","Female","Neck",0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"138","S1",6,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","S1",6,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","S1",6,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","S1",6,"Nymph","Male","Head",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","S1",6,"Nymph","Male","Tail",0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0
"143","S1",6,"Nymph","Male","Neck",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"144","S1",6,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","S1",7,"Adult","Female","Leg",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","S1",7,"Adult","Female","Belly",0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"147","S1",7,"Adult","Female","Head",0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"148","S1",7,"Adult","Female","Tail",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","S1",7,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","S1",7,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","S1",7,"Adult","Male","Leg",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
